YEAR	DEATHS	BOATS	POP	WATER TEMP
1991	53	68	13.3	71.9
1992	38	68	13.5	70.4
1993	35	67	13.7	70.5
1994	49	70	14	71.7
1995	42	71	14.3	70.9
1996	60	73	14.6	69.9
1997	54	76	14.9	71.2
1998	67	81	15.2	72.5
1999	82	83	15.6	71.2
2000	78	84	16	70.6
2001	81	90	16.3	70.9
2002	95	92	16.6	71.4
2003	73	94	17	71
2004	69	95	17.4	70.8
2005	79	97	17.8	70.7
2006	92	99	18.2	71.2
2007	73	99	18.4	71.6
2008	90	97	18.6	70.6
2009	97	95	18.7	71.1
2010	83	90	18.8	69.1
2011	88	90	18.9	71.6
2012	81	87	19.1	71.8
2013	73	90	19.3	
2014	68	90	19.5	
