KING TAR	KING NICOTINE	KING CO	MENTH TAR	MENTH NICOTINE	MENTH CO	100 TAR	100 NICOTINE	100 CO
20	1.1	16	16	1.1	15	5	0.4	4
27	1.7	16	13	0.8	17	16	1.0	19
27	1.7	16	16	1.0	19	17	1.2	17
20	1.1	16	9	0.9	9	13	0.8	18
20	1.1	16	14	0.8	17	13	0.8	18
24	1.4	17	13	0.8	17	14	1.0	13
20	1.1	16	12	0.8	15	15	1.1	17
23	1.4	15	14	0.8	17	15	1.1	15
20	1.0	16	14	0.9	15	15	1.1	15
22	1.2	14	13	0.8	17	9	0.8	12
20	1.1	16	13	0.8	17	13	0.8	18
20	1.1	16	16	1.2	15	13	0.8	17
20	1.1	16	13	0.8	17	13	0.8	18
20	1.1	16	13	0.8	17	15	1.0	16
20	1.1	16	18	1.3	18	2	0.2	3
10	1.8	14	9	0.7	11	15	1.1	18
24	1.6	16	19	1.4	18	15	1.0	15
20	1.1	16	2	0.2	3	13	0.8	18
21	1.2	14	13	0.8	17	14	1.0	15
25	1.5	18	14	1.0	14	15	0.9	17
23	1.3	15	14	0.8	15	16	1.1	15
20	1.1	16	15	0.8	22	15	1.1	15
22	1.3	14	16	1.2	16	7	0.6	7
20	1.1	16	6	0.6	7	17	1.3	16
20	1.1	16	8	0.7	9	15	1.1	14
