ACTRESSES	ACTORS
22	44
37	41
28	62
63	52
32	41
26	34
31	34
27	52
27	41
28	37
30	38
26	34
29	32
24	40
38	43
25	56
29	41
41	39
30	49
35	57
35	41
33	38
29	42
38	52
54	51
24	35
25	30
46	39
41	41
28	44
40	49
39	35
29	47
27	31
31	47
38	37
29	57
25	42
35	45
60	42
43	44
35	62
34	43
34	42
27	48
37	49
42	56
41	38
36	60
32	30
41	40
33	42
31	36
74	76
33	39
50	53
38	45
61	36
21	62
41	43
26	51
80	32
42	42
29	54
33	52
35	37
45	38
49	32
39	45
34	60
26	46
25	40
33	36
35	47
35	29
28	43
30	37
29	38
61	45
32	50
33	48
45	60
29	50
62	39
22	55
44	44
54	33
