DEC BY FEM	DEC BY MALE	AGE FEM	AGE MALE	LIKE BY FEM	LIKE BY MALE	ATTRACT BY FEM	ATTRACT BY MALE	ATTRIB BY FEM	ATTRIB BY MALE
0	1	27	28	7.0	7.0	5.0	8.0	38.0	36.0
0	0	24	26	7.0	7.0	7.0	6.0	36.0	38.0
1	0	26	28	6.0	3.0	7.0	8.0	29.0	35.0
1	0	34	27	8.0	6.0	8.0	6.0	38.0	28.0
1	0	22	25	5.0	5.0	7.0	5.0	33.0	34.0
0	1	29	25	8.0	5.0	5.0	5.0	42.0	23.0
1	1	26	24	5.0	7.0	5.0	7.0	36.0	40.0
1	1	24	23	7.0	9.0	7.0	9.0	34.0	45.0
0	0	21	27	7.0	6.0	5.0	6.0	22.0	37.0
0	1	22	22	7.0	8.0	6.0	7.0	31.0	36.0
0	0	23	27	6.0	7.0	5.0	6.0	39.0	32.0
1	0	21	30	6.0	2.0	7.0	3.0	30.0	33.0
0	1	23	22	6.0	10.0	4.0	10.0	25.0	50.0
0	0	25	24	8.0	5.0	8.0	5.0	39.0	33.0
1	0	30	24	6.0	6.0	8.0	5.0	39.0	32.0
1	1	23	30	3.0	10.0	1.0	10.0	32.0	49.0
1	1	25	30	6.0	8.0	6.0	8.0	35.0	42.0
1	0	30	23	7.0	8.0	7.0	5.0	31.0	34.0
0	0	22	25	5.0	4.0	4.0	6.0	32.0	26.0
1	0	34	29	6.0	5.0	10.0	5.0	34.0	34.0
0	1	29	27	8.0	6.0	8.0	8.0	35.0	38.0
0	1	25	28	3.0	8.0	3.0	5.0	26.0	38.0
0	1	22	27	6.0	7.0	7.0	7.0	28.0	40.0
1	0	28	28	6.0	8.0	8.0	6.0	31.0	44.0
0	0	29	30	6.0	7.0	6.0	6.0	32.0	31.0
1	0	55	33	7.0	5.0	8.0	5.0	37.0	29.0
0	1	29	23	5.0	6.0	6.0	5.0	35.0	29.0
0	0	24	27	5.0	5.0	5.0	5.0	34.0	31.0
1	0	27	33	9.0	9.0	9.0	5.0	45.0	40.0
0	1	26	33	1.0	7.0	2.0	8.0	23.0	30.0
0	1	26	25	6.0	7.0	5.0	6.0	36.0	31.0
0	1	23	23	6.0	8.0	6.0	8.0	37.0	42.0
0	0	26	27	5.0	7.0	5.0	5.0	20.0	37.0
0	1	24	26	8.0	9.0	6.0	9.0	41.0	40.0
0	0	25	24	3.0	2.0	5.0	6.0	32.0	27.0
1	1	25	24	6.0	8.0	8.0	7.0	36.0	41.0
0	0	26	27	3.0	7.0	5.0	6.0	36.0	36.0
1	1	21	25	7.0	6.0	7.0	8.0	37.0	34.0
1	1	21	28	7.0	7.0	6.0	7.0	32.0	33.0
0	1	22	28	1.0	8.0	3.0	8.0	22.0	36.0
0	0	21	23	8.0	6.0	5.0	5.0	40.0	39.0
0	0	26	22	2.0	6.0	3.0	6.0	10.0	35.0
1	1	27	24	6.0	6.0	6.0	6.0	36.0	32.0
0	1	24	21	6.0	7.0	3.0	8.0	31.0	34.0
1	0	22	23	6.0	6.0	6.0	5.0	30.0	22.0
0	0	23	22	6.0	6.0	7.0	6.0	35.0	33.0
1	0	24	26	8.0	7.0	6.0	5.0	36.0	32.0
1	1	26	22	8.0	10.0	8.0	10.0	43.0	50.0
1	1	22	21	8.0	9.0	10.0	6.0	41.0	37.0
0	1	23	22	3.0	6.0	3.0	7.0	27.0	32.0
1	0	29	25	8.0	5.0	9.0	6.0	47.0	35.0
0	0	28	29	6.0	6.0	8.0	7.0	38.0	37.0
0	0	30	32	5.0	4.0	5.0	5.0	30.0	25.0
1	0	23	28	7.0	5.0	7.0	6.0	30.0	27.0
0	1	25	22	9.0	9.0	5.0	9.0	43.0	40.0
0	1	23	24	7.0	7.0	8.0	8.0	43.0	33.0
0	1	23	30	4.0	6.0	3.0	6.0	38.0	34.0
0	1	21	22	2.0	7.0	4.0	8.0	32.0	28.0
1	1	20	20	9.0	9.0	9.0	9.0	38.0	32.0
1	1	20	21	9.0	9.0	9.0	10.0	42.0	42.0
0	0	20	21	5.0	5.0	7.0	5.0	24.0	34.0
1	1	21	22	7.0	7.0	8.0	7.0	30.0	31.0
1	0	21	22	8.0	10.0	8.0	10.0	39.0	50.0
1	1	26	29	8.0	6.0	8.0	8.0	37.0	42.0
1	1	36	27	10.0	10.0	10.0	9.0	45.0	44.0
1	0	27	28	8.0	8.0	8.0	9.0	37.0	40.0
0	1	28	28	4.0	7.0	3.0	8.0	28.0	34.0
1	0	30	22	8.0	5.0	8.0	7.0	40.0	39.0
0	1	24	23	4.0	9.0	4.0	10.0	25.0	35.0
0	1	24	21	7.0	6.0	7.0	8.0	36.0	34.0
1	1	24	34	7.0	10.0	8.0	10.0	40.0	50.0
0	0	22	24	3.0	4.0	2.0	5.0	21.0	27.0
1	1	22	25	8.0	8.0	8.0	8.0	43.0	42.0
0	0	28	25	6.0	2.0	6.0	3.0	28.0	33.0
0	1	30	24	4.0	7.0	6.0	7.0	27.0	33.0
0	1	24	26	4.0	7.0	8.0	7.0	33.0	35.0
1	1	23	26	8.0	9.0	8.0	8.0	41.0	40.0
1	1	25	23	6.0	6.0	5.0	7.0	37.0	37.0
1	1	27	28	7.0	7.0	8.0	8.0	40.0	35.0
0	1	28	27	6.0	6.0	6.0	6.0	46.0	27.0
0	0	25	30	7.0	6.0	6.0	7.0	45.0	32.0
1	1	25	28	7.0	8.0	8.0	8.0	39.0	43.0
1	1	23	26	7.0	7.0	7.0	7.0	36.0	34.0
1	0	26	34	7.0	4.0	7.0	5.0	35.0	31.0
1	1	33	24	7.0	4.5	6.0	5.0	35.0	22.0
1	0	25	28	7.0	6.0	6.0	5.0	29.0	36.0
1	0	25	25	8.0	7.0	8.0	7.0	39.0	32.0
0	0	27	32	5.0	5.0	6.0	5.0	31.0	23.0
0	0	29	27	7.0	8.0	5.0	8.0	36.0	37.0
0	1	33	23	7.0	9.0	6.0	9.0	42.0	38.0
1	0	34	29	6.0	7.0	5.0	7.0	37.0	33.0
1	1	24	25	9.0	7.0	10.0	5.0	48.0	33.0
0	1	30	27	7.0	9.0	6.0	9.0	34.0	39.0
0	0	35	32	3.0	4.0	4.0	5.0	36.0	27.0
0	0	28	27	6.0	7.0	6.0	6.0	34.0	35.0
0	0	22	29	6.0	6.0	6.0	4.0	30.0	33.0
0	1	29	28	7.0	6.0	6.0	7.0	32.0	35.0
1	0	24	27	8.0	4.0	7.0	4.0	32.0	32.0
1	1	31	24	7.0	6.5	6.0	7.0	39.0	36.0
0	0	23	28	8.0	5.0	8.0	6.0	37.0	31.0
1	1	26	26	7.0	7.0	6.0	8.0	35.0	34.0
0	0	24	34	7.0	6.0	9.5	6.0	37.0	33.0
0	0	22	26	7.0	7.0	8.0	6.0	36.0	31.0
1	0	33	24	6.0	6.0	4.0	6.0	33.0	37.0
1	0	24	24	10.0	10.0	10.0	10.0	50.0	50.0
0	1	38	24	8.0	7.0	7.0	7.0	43.0	34.0
0	1	29	25	5.0	7.0	5.0	8.0	38.0	31.0
0	0	30	21	6.0	4.0	8.0	6.0	31.0	42.0
0	1	27	28	7.0	8.0	7.0	8.0	21.0	35.0
1	0	23	24	10.0	7.0	10.0	9.0	50.0	41.0
0	1	22	23	5.0	7.0	5.0	10.0	36.0	35.0
0	1	27	29	5.0	8.0	7.0	8.0	34.0	37.0
0	1	26	32	6.0	9.0	8.0	8.0	37.0	38.0
0	0	24	30	5.0	10.0	7.0	10.0	27.0	41.0
0	1	25	32	6.0	7.0	4.0	7.0	28.0	28.0
0	1	25	29	6.0	7.0	3.0	8.0	36.0	34.0
0	0	27	28	3.0	8.0	3.0	9.0	23.0	43.0
0	1	30	24	7.0	8.0	4.0	7.0	36.0	32.0
1	0	34	30	10.0	6.0	10.0	8.0	48.0	37.0
0	1	30	23	5.0	6.0	4.0	6.0	32.0	30.0
0	0	22	29	4.0	3.0	5.0	6.0	25.0	39.0
1	1	22	22	8.0	8.0	6.0	9.0	37.0	41.0
1	1	27	23	7.0	7.0	5.0	5.0	27.0	34.0
0	1	23	23	5.0	8.0	7.0	7.0	37.0	29.0
1	1	26	32	8.0	6.0	8.0	7.0	46.0	31.0
0	0	28	30	6.0	7.0	7.0	2.0	29.0	34.0
0	1	27	30	7.0	6.0	5.0	6.0	35.0	27.0
0	0	27	24	3.0	4.0	4.0	4.0	25.0	26.0
0	1	25	28	6.0	7.0	5.0	8.0	37.0	39.0
0	1	23	28	6.0	8.0	6.0	9.0	34.0	43.0
1	0	25	25	7.0	3.0	6.0	5.0	39.0	27.0
1	0	30	27	7.0	7.0	7.0	6.0	38.0	37.0
1	1	27	24	6.0	6.0	8.0	6.0	32.0	29.0
1	1	25	25	0.0	8.0	7.0	8.0	50.0	41.0
1	1	35	21	4.0	8.0	8.0	9.0	36.0	40.5
0	0	32	26	6.0	5.0	5.0	5.0	29.0	29.0
1	0	27	27	7.0	8.0	8.0	6.0	37.0	34.0
0	0	26	28	5.0	8.0	5.0	7.0	33.0	38.0
1	1	23	25	9.0	7.0	7.0	7.0	42.0	37.0
1	0	29	27	7.0	4.0	7.0	5.0	35.0	29.0
1	1	28	26	8.0	8.0	8.0	8.0	37.0	40.0
1	1	27	30	9.0	7.0	8.0	8.0	40.0	38.0
0	0	23	27	7.0	4.0	5.0	4.0	37.0	30.0
0	0	24	27	8.0	6.0	9.0	5.0	43.0	31.0
0	1	27	23	5.0	9.0	5.0	8.0	33.0	40.0
0	1	28	22	3.0	7.0	5.0	7.0	28.0	39.0
1	0	23	28	8.0	5.0	1.0	5.0	39.0	40.0
1	1	27	26	8.0	8.0	7.0	6.0	42.0	38.0
0	1	22	27	5.0	6.0	2.0	6.0	35.0	28.0
0	1	23	31	6.0	8.0	6.0	8.0	36.0	40.0
0	0	23	25	2.0	7.0	3.0	8.0	23.0	41.0
0	1	25	28	7.0	8.0	5.0	8.0	39.0	43.0
1	0	31	27	8.0	7.0	2.0	5.0	36.0	35.0
0	0	26	42	7.0	3.0	6.0	5.0	34.0	33.0
1	0	30	24	6.0	5.0	4.0	4.0	35.0	27.0
1	1	28	27	7.0	7.0	7.0	7.0	41.0	39.0
0	1	24	28	5.0	7.0	5.0	7.0	35.0	31.0
0	0	22	27	3.0	5.0	5.0	5.0	33.0	27.0
0	1	26	22	5.0	7.0	5.0	7.0	25.0	32.0
0	1	26	22	8.0	5.0	6.0	8.0	44.0	35.0
0	1	26	21	5.0	5.0	5.0	5.0	31.0	33.0
0	1	23	25	5.0	6.0	5.0	6.0	26.0	26.0
0	1	28	27	4.0	8.0	4.0	10.0	36.0	34.0
0	1	32	23	8.0	7.0	9.0	7.0	32.0	21.0
1	1	24	27	7.0	6.0	7.0	8.0	35.0	44.0
0	0	26	28	5.0	3.0	5.0	5.0	32.0	30.0
1	0	27	29	7.0	7.0	7.5	5.0	35.5	32.0
1	1	21	26	7.0	9.0	3.0	9.0	47.0	41.0
0	0	28	32	6.0	5.0	7.0	8.0	30.0	42.0
1	0	22	30	7.0	4.0	9.0	4.0	34.0	27.0
1	1	35	27	8.0	9.0	8.0	9.0	40.0	43.0
1	0	29	27	9.0	6.0	9.0	6.0	40.0	31.0
1	0	26	23	6.0	3.0	6.0	2.0	37.0	14.0
0	0	26	30	2.0	5.0	7.0	5.0	22.0	24.0
1	0	21	30	6.0	6.0	7.0	5.0	43.0	24.0
1	0	24	30	7.0	5.0	10.0	3.0	41.0	27.0
