CAR	SIZE	WEIGHT	LENGTH	BRAKING	CYLINDERS	DISPLACEMENT	CITY	HIGHWAY	GHG
Chev Aveo	Small	2560	154	133	4	1.6	25	34	6.6
Honda Civic	Small	2740	177	136	4	1.8	25	36	6.3
Mitsubishi Lancer	Small	3610	177	126	4	2.0	22	28	7.7
VW Jetta	Small	3225	179	137	4	2.0	29	40	6.4
Hyundai Elantra	Small	2895	177	138	4	2.0	25	33	6.6
Kia Rio	Small	2615	167	132	4	1.6	27	35	6.1
Subaru Impreza	Small	3110	180	135	4	2.5	20	26	8.3
Ford Fusion	Midsize	3320	191	136	4	2.3	20	28	8.0
Nissan Altima	Midsize	3215	190	136	4	2.5	23	31	7.1
Nissan Maxima	Midsize	3555	191	128	6	3.5	19	26	8.3
Honda Accord	Midsize	3270	194	140	4	2.4	21	30	7.7
Volvo S60	Midsize	3465	180	140	5	2.5	19	28	8.0
VW Passat	Midsize	3465	188	135	4	2.0	19	29	8.0
Toyota Camry	Midsize	3530	189	137	4	2.4	21	31	7.3
Toyota Avalon	Large	3600	197	139	6	3.5	19	28	8.0
Hyundai Azera	Large	3835	193	134	6	3.3	18	26	8.7
Cadillac DTS	Large	4085	208	145	8	4.6	15	23	10.2
Lincoln Town	Large	4415	215	143	8	4.6	16	24	9.6
Dodge Charger	Large	4170	200	131	6	2.7	18	26	8.7
Merc Gr Marq	Large	4180	212	140	8	4.6	16	24	9.6
Buick Lucerne	Large	4095	203	143	8	4.6	17	25	10.2
