YEAR	MONTH	F SCALE	FATALITIES	LENGTH (MI)	WIDTH (YD)
1950	5	2	0	3.60	100
1950	5	4	0	34.30	150
1950	6	1	0	0.20	10
1950	8	1	0	0.10	10
1951	6		0	0.10	10
1951	8		0	0.10	10
1952	5	2	0	0.10	200
1953	4	3	8	39.80	400
1953	6	1	0	0.10	100
1953	7	1	0	10.80	10
1954	4	3	0	86.30	50
1955	4	2	0	2.00	10
1955	5	2	0	15.50	200
1955	5	1	0	10.50	10
1955	5		0	0.10	10
1955	5	0	0	0.10	10
1955	10	2	0	0.10	10
1956	2	3	0	15.00	100
1956	3	0	0	1.00	30
1956	4	2	0	18.40	100
1956	7	1	0	0.50	150
1956	7	1	0	0.10	10
1956	10	2	0	7.70	50
1956	12	2	0	9.00	33
1957	3	2	1	0.10	10
1957	5		0	1.00	100
1957	5	1	0	0.10	10
1957	6	1	0	0.10	10
1957	6	1	0	1.00	10
1957	7		0	0.10	10
1957	11	4	4	7.20	200
1958	4	1	0	0.50	10
1958	6	0	0	1.00	50
1958	7	1	0	0.10	50
1959	1	2	0	1.00	10
1959	3	2	1	11.90	417
1959	8	2	0	0.10	200
1959	10	1	0	0.10	10
1960	4	1	0	1.30	13
1960	5	0	0	0.10	10
1960	5	0	0	0.50	33
1960	6	0	0	0.10	23
1960	6	2	0	12.20	67
1961	11	1	0	0.10	10
1961	11	1	0	0.30	13
1962	2	1	0	0.10	10
1962	4	2	0	0.10	10
1962	5	1	0	0.10	10
1963	3	1	0	0.20	17
1963	4	2	0	14.80	250
1963	7	3	0	0.10	10
1963	7	2	0	0.10	10
1963	7	3	0	2.30	10
1963	7	1	0	0.50	300
1963	8	2	0	0.30	27
1964	4	1	0	0.10	10
1964	4	1	0	1.00	100
1964	4	2	0	6.80	10
1964	5	0	0	0.10	17
1964	8	1	0	5.70	10
1965	2	2	0	14.40	50
1965	6	1	0	0.10	10
1965	7	2	0	0.10	100
1965	8	1	0	4.90	100
1965	9	1	0	1.00	100
1965	12	2	0	3.40	10
1966	4	2	0	2.70	100
1966	8	1	0	0.10	10
1967	1	2	0	2.50	50
1967	1	2	0	3.30	77
1967	4	2	0	14.90	40
1967	5		0	0.10	10
1967	5	1	0	0.50	20
1967	9		0	0.10	10
1967	10	1	0	0.50	100
1968	3	2	0	1.50	10
1968	5	1	0	0.10	10
1968	12	3	0	0.50	100
1969	6	1	0	0.50	10
1969	6	1	0	0.10	100
1970	6	1	0	0.10	150
1970	7	2	1	3.80	10
1970	7		0	0.10	10
1970	8	2	0	0.10	10
1970	8	1	0	16.70	10
1970	9		0	0.10	10
1970	12	2	0	2.00	200
1971	2	2	0	1.00	10
1971	4	2	0	0.50	20
1971	5	1	0	0.30	20
1971	6	1	0	2.00	50
1971	6	1	0	1.00	120
1971	12	1	0	0.20	20
1971	12	2	0	4.30	167
1972	3	2	0	1.00	300
1972	3	1	0	0.20	20
1972	4	1	0	0.50	20
1972	5	2	0	1.50	440
1972	6	0	0	0.10	10
1972	7	1	0	29.60	10
1972	9	2	0	1.00	50
1972	10	2	0	0.30	20
1973	3	1	0	1.00	50
1973	4	2	0	0.50	10
1973	5	0	0	0.30	27
1973	5	2	0	0.10	133
1973	6	1	0	0.10	10
1973	9	2	0	6.20	50
1974	4	4	0	18.90	10
1974	4	1	0	7.30	17
1974	4	2	0	12.50	20
1974	5	1	0	9.40	20
1974	6	0	0	0.50	27
1974	6	1	0	0.10	17
1974	6	1	0	4.50	30
1974	6	0	0	0.50	10
1974	6	0	0	0.10	10
1974	7	1	0	0.10	10
1974	7	0	0	0.10	10
1974	7	0	0	0.10	10
1974	8	0	0	0.10	10
1975	2	1	0	0.30	100
1975	3	1	0	3.60	50
1975	4	0	0	0.10	23
1975	6	1	0	2.00	10
1975	9	0	0	0.10	10
1975	9	1	0	5.60	10
1975	11	2	0	0.30	30
1976	1	1	0	0.10	10
1976	3	1	0	1.00	20
1976	3	2	0	0.20	100
1976	4	0	0	0.10	10
1976	4	2	0	0.10	67
1976	5	0	0	0.10	10
1976	6	2	0	2.00	33
1976	6	0	0	0.10	10
1977	2	1	0	2.00	100
1977	5	2	0	2.00	10
1977	5	0	0	0.10	17
1977	8		0	0.10	10
1977	9	1	0	0.20	23
1978	5	1	0	0.20	17
1978	6	0	0	0.50	10
1978	7	2	0	0.10	10
1978	8	2	0	0.80	333
1979	1	2	0	1.00	50
1979	3	0	0	0.30	30
1979	5	1	0	25.80	20
1979	6	0	0	0.10	10
1979	6	0	0	2.70	50
1979	7	0	0	1.00	50
1979	8	3	0	5.70	67
1979	8	0	0	0.50	300
1979	10	0	0	0.10	10
1980	6	1	0	0.10	10
1980	6	2	0	4.90	10
1980	6	1	0	4.10	2000
1980	6	1	0	0.10	10
1980	6	1	0	0.10	10
1980	8	1	0	0.30	30
1980	8	0	0	1.50	37
1980	8	1	0	0.80	40
1981	6	0	0	0.40	13
1981	6	0	0	1.00	50
1981	7	1	0	0.50	17
1981	7	0	0	0.10	30
1981	7	0	0	2.00	27
1981	7	1	0	0.30	20
1981	7	1	0	0.10	10
1981	8	0	0	0.80	27
1982	1	3	1	11.00	300
1982	1	2	0	8.00	80
1982	3	3	0	9.00	400
1982	4	1	0	0.30	27
1982	4	0	0	0.30	50
1982	4	1	0	0.10	10
1982	5	1	0	0.10	10
1982	5	0	0	0.10	10
1982	5	1	0	0.60	30
1982	5	0	0	0.10	10
1982	6	1	0	1.00	30
1982	7	0	0	0.30	10
1982	7	1	0	0.10	10
1982	10	0	0	0.10	20
1982	11	1	0	5.00	17
1983	4	1	0	2.00	30
1983	5	0	0	0.10	50
1983	5	2	0	4.00	77
1983	5	0	0	0.30	20
1983	6	0	0	0.50	50
1983	6	0	0	0.10	50
1983	7	1	0	0.10	20
1983	8	0	0	0.50	40
1983	11	3	0	16.00	100
1983	12	1	0	0.20	50
1984	3	0	0	0.10	10
1984	3	0	0	0.50	20
1984	3	2	0	2.00	177
1984	3	1	0	1.00	177
1984	4	1	0	0.30	27
1984	5	0	0	0.10	10
1984	5	1	0	0.30	20
1984	6	0	0	0.50	10
1985	5	0	0	0.10	10
1985	5	2	0	21.00	100
1985	6	0	0	0.20	10
1985	7	3	0	0.20	100
1985	7	2	0	3.00	20
1985	9	0	0	0.20	60
1985	12	2	0	5.00	100
1986	4	2	0	5.00	40
1986	5	0	0	0.20	13
1986	5	1	0	2.00	150
1986	6	0	0	0.20	20
1986	7	0	0	0.20	13
1986	11	2	0	5.00	173
1987	3	0	0	0.20	10
1987	6	0	0	0.50	10
1987	6	0	0	2.00	13
1987	7	1	0	0.20	20
1987	7	0	0	1.00	30
1987	7	0	0	0.10	23
1987	11	2	0	7.00	900
1987	12	0	0	1.00	30
1988	1	1	0	10.00	60
1988	4	1	0	0.30	30
1988	5	1	0	0.20	50
1988	8	1	0	1.00	30
1988	9	0	0	0.20	10
1988	10	0	0	0.30	20
1988	12	1	0	7.00	70
1989	1	2	0	4.00	100
1989	4	0	0	0.50	40
1989	4	0	0	0.30	50
1989	4	0	0	0.10	30
1989	5	1	0	0.30	20
1989	11	0	0	0.20	50
1989	11	3	0	8.00	1760
1990	3	2	1	2.00	200
1990	4	0	0	0.80	70
1990	6	1	0	0.50	100
1990	7	0	0	0.10	10
1990	12	1	0	2.00	100
1991	4	0	0	0.20	10
1991	4	1	0	1.10	73
1991	4	1	0	2.00	40
1991	5	3	0	13.00	173
1991	5	0	0	0.30	70
1991	5	0	0	0.50	50
1991	5	0	0	0.20	10
1991	5	2	0	5.00	60
1991	5	1	0	1.00	10
1991	5	0	0	0.20	30
1991	5	1	0	0.40	30
1991	6	0	0	1.00	10
1991	6	3	0	3.50	150
1991	8	0	0	0.50	27
1991	10	0	0	0.50	73
