INT BEFORE (MIN)	DURATION (SEC)	INT AFTER (MIN)	HEIGHT (FT)	PRED ERROR (MIN)
82	251	83	130	4
99	243	76	125	-13
88	250	86	120	-2
92	240	82	120	-6
86	243	87	130	0
88	238	94	125	-2
94	253	83	115	-8
84	245	104	120	2
96	246	78	120	-10
85	258	92	130	1
97	242	91	140	-11
93	241	87	130	-7
88	245	102	120	-2
88	225	88	120	-2
88	238	92	110	-2
94	248	79	125	-8
92	242	102	120	-6
96	246	86	130	-10
91	205	90	130	-5
89	245	86	140	0
88	256	91	120	1
97	255	93	130	-11
98	245	87	135	-12
64	242	91	140	-3
85	248	90	120	1
85	237	95	130	1
96	255	81	130	-10
87	252	95	130	-1
95	262	81	120	-9
90	257	89	120	-4
95	233	97	120	-9
65	248	86	140	-2
86	235	95	130	0
93	233	96	140	-7
92	236	88	120	-6
95	264	94	130	-9
89	241	92	130	-3
97	240	88	125	-11
93	253	89	140	-7
87	240	90	125	-1
85	229	91	120	1
84	221	89	120	2
89	239	98	120	-3
88	249	95	145	-2
94	236	90	140	-8
65	244	95	140	-2
86	240	97	120	0
90	203	85	130	-4
96	249	87	125	-10
86	125	60	140	0
90	239	91	120	-4
91	246	89	140	-5
94	245	104	130	-8
91	250	95	130	-5
96	249	86	130	-14
83	239	91	125	3
94	256	92	130	-8
94	236	88	140	-8
87	227	91	120	-1
86	227	90	130	0
95	243	88	140	-9
85	227	90	140	1
84	221	89	130	2
89	244	85	130	-3
93	241	81	130	-7
92	234	80	125	-6
87	249	99	120	-1
89	260	91	140	-3
90	242	84	153	-4
95	260	85	140	-9
81	254	95	130	5
98	229	84	110	-12
80	235	95	130	6
85	105	102	130	1
97	239	82	130	-11
93	248	92	125	-7
89	239	88	130	-3
85	214	101	135	2
93	225	85	120	-7
79	251	92	120	7
89	249	91	130	-3
87	253	93	130	-1
94	216	80	130	-8
96	250	79	130	-10
99	240	84	130	-13
90	241	85	120	-4
88	249	87	120	-2
83	243	88	100	3
80	240	95	125	6
82	224	86	120	4
92	225	94	130	-6
77	240	91	120	10
82	222	90	130	4
92	263	104	130	-6
101	210	88	160	-13
100	245	84	140	-14
85	232	94	130	0
72	265	92	140	-9
97	249	90	145	-11
90	229	86	120	-4
93	255	79	125	-7
102	237	88	135	-16
93	250	93	140	-7
94	210	90	150	-8
103	236	91	140	-17
91	265	79	130	-5
83	262	102	110	3
89	253	87	120	-3
87	265	99	140	-1
93	224	96	125	-7
88	252	95	130	-2
97	240	82	120	-10
91	257	88	120	-5
79	260	90	130	7
91	120	63	125	-5
92	124	71	135	-6
86	238	91	145	0
87	210	92	130	-1
80	223	83	120	6
80	252	100	120	6
91	228	88	120	-5
84	243	84	130	2
88	255	97	120	-2
83	248	98	125	3
90	239	91	125	-4
99	227	78	150	-13
91	230	83	130	-5
90	218	91	135	-4
96	135	68	120	-9
91	122	70	120	-5
84	225	85	125	2
89	230	87	120	-3
89	119	59	120	-2
75	235	94	115	12
61	243	96	135	-3
82	220	104	120	5
78	210	100	110	8
90	219	89	135	-4
78	215	94	120	8
100	223	88	130	-14
97	110	67	130	-11
94	232	81	125	-8
99	251	77	135	-13
94	246	91	130	-8
95	105	58	140	-9
89	253	92	130	-3
89	248	92	130	-3
86	240	92	130	0
85	243	88	130	1
65	236	97	125	22
79	228	74	120	7
74	226	87	120	12
90	246	90	125	-4
90	246	92	120	-4
101	261	91	130	-13
87	116	70	120	-1
87	245	95	120	-1
90	231	80	125	-4
90	234	80	130	-4
106	237	89	130	-20
88	246	91	120	-2
89	229	104	130	-3
88	250	89	125	-2
82	215	99	130	4
64	223	92	125	-6
91	229	92	130	-5
93	207	94	130	-7
87	240	93	130	-1
93	241	99	150	-7
85	242	95	120	1
95	226	90	140	-9
91	95	70	120	-5
94	253	91	140	-8
94	242	96	110	-8
100	228	78	140	-14
96	238	99	130	-9
104	265	98	140	-18
92	237	82	125	-6
84	240	101	130	2
94	224	87	135	-8
93	237	91	130	-7
89	210	80	135	-3
92	223	92	120	-6
94	212	80	130	-7
87	117	79	130	-1
85	223	91	120	1
92	141	69	140	-6
93	205	80	140	-6
89	243	81	145	-3
92	221	60	110	-6
96	221	90	135	-10
89	140	91	120	0
93	243	95	135	-3
94	243	88	130	-5
101	225	91	135	-12
85	240	88	130	-3
97	206	81	140	-8
91	263	106	120	-2
85	240	95	125	4
85	257	85	125	4
99	231	83	125	-10
83	102	66	125	6
64	260	96	120	-6
98	129	61	140	-9
93	239	87	130	-4
87	248	95	150	2
84	244	96	115	5
82	242	90	130	7
90	227	88	140	-1
86	149	75	125	3
102	113	61	140	-14
92	254	85	140	-3
82	262	102	130	0
89	112	62	140	0
90	227	80	150	-1
90	241	83	140	-1
88	248	82	135	-6
87	230	87	125	2
102	240	80	155	-13
80	234	96	125	9
92	238	82	155	-3
97	103	63	130	-8
93	249	93	140	-4
88	271	95	130	1
96	217	88	130	-7
81	230	100	130	8
87	240	85	155	2
68	242	86	145	-4
89	245	88	120	0
89	222	85	135	2
92	248	90	135	-3
88	225	84	140	1
92	238	93	135	-3
92	225	101	145	-3
87	237	79	130	2
82	237	99	130	7
89	228	98	130	0
75	245	80	125	9
82	243	91	140	2
89	241	75	160	-5
83	227	88	120	1
81	274	88	150	3
89	252	81	140	-5
81	245	83	145	3
89	229	81	150	-5
92	260	78	130	-8
92	241	95	120	-8
86	248	85	130	-2
87	236	83	145	-3
76	234	85	130	8
				
