MCDONALDS LUNCH	MCDONALDS DINNER	BURGER KING LUNCH	BURGER KING DINNER	WENDYS LUNCH	WENDYS DINNER	DUNKIN DONUTS LUNCH	DUNKIN DONUTS DINNER
107	84	116	101	466	56	86	181
139	121	131	126	387	82	201	50
197	119	147	153	368	120	179	177
209	146	120	116	219	116	131	107
281	266	126	175	177	121	126	68
254	181	136	134	114	104	68	104
163	123	77	110	104	110	76	131
150	152	136	124	144	101	86	272
127	162	133	128	157	205	94	288
308	212	121	127	131	152	89	87
206	333	182	133	146	91	57	80
187	308	146	136	185	64	160	152
169	177	138	227	205	100	91	160
83	112	110	213	229	170	111	90
127	156	149	293	250	62	128	211
133	148	148	127	243	58	119	176
140	96	110	94	276	165	110	107
143	235	208	136	242	155	101	127
130	240	120	243	235	217	109	133
144	185	105	143	324	168	98	86
91	153	79	143	231	144	136	178
113	200	120	201	190	192	97	48
153	169	91	149	188	94	54	65
255	121	145	143	219	114	66	136
252	64	159	137	176	96	82	76
200	201	83	147	207	98	80	69
117	177	109	157	215	204	58	109
167	116	102	134	217	261	65	80
148	141	78	169	169	254	78	121
184	173	224	135	144	237	69	91
123	188	199	241	128	74	43	106
153	198	198	235	104	92	49	109
155	232	137	251	126	114	58	117
154	194	142	235	118	138	79	122
100	352	76	233	128	115	93	137
117	305	166	169	94	165	109	185
101	210	195	86	106	147	114	223
138	197	253	106	97	130	111	226
186	182	231	54	95	162	145	145
196	188	259	172	83	134	137	63
146	106	192	77	96	149	90	44
90	148	128	145	86	240	46	52
144	176	106	143	91	259	142	333
119	156	84	99	77	129	178	85
135	171	153	126	81	154	134	111
151	157	151	148	174	105	168	118
197	166	145	131	91	123	133	116
171	123	171	184	107	165	143	107
190	136	160	149	85	156	127	178
169	310	124	127	73	267	135	77
