CHIPS AHOY REG	CHIPS AHOY CHEWY	CHIPS AHOY RED FAT	KEEBLER	HANNAFORD
22	21	13	29	13
22	20	24	31	15
26	16	18	25	16
24	17	16	32	21
23	16	21	27	15
27	17	20	31	14
25	20	14	30	14
20	22	20	29	15
24	14	18	31	13
26	20	12	26	13
25	19	24	32	16
25	17	23	33	11
19	20	28	32	14
24	21	18	30	12
20	21	18	33	13
22	18	19	29	12
24	20	22	30	14
25	20	21	28	12
25	21	22	32	16
20	19	16	35	17
23	22	13	37	14
30	20	20	31	16
26	20	20	24	14
20	19	23	30	15
25	16	24	30	
28	19	20	34	
19	16	17	29	
26	15	20	27	
26	24	19	24	
23	23	21	38	
25	14	27	37	
23	24	16	32	
23		24	26	
23		19	30	
22		23		
26		25		
27		14		
23		18		
28		15		
24		19		
