AIRPORT CODE	VERIZON	SPRINT	AT&T	T-MOBILE
RSW	38.5	13.0	9.7	8.6
ORD	55.6	30.4	8.2	7.0
SNA	22.4	15.2	7.1	18.5
MEM	14.1	2.4	14.4	16.7
MKE	23.1	2.7	13.4	5.6
IND	24.5	2.1	30.6	3.2
DCA	6.5	0.8	14.4	16.2
LAS	21.5	1.6	17.0	6.9
CMH	25.7	5.6	3.8	27.3
PIT	14.7	4.0	12.4	10.1
ATL	77.8	0.4	33.9	27.3
MDW	71.3	2.5	5.5	13.3
BWI	43.0	3.4	12.7	3.2
RDU	20.2	2.7	11.0	5.4
FLL	15.5	10.6	4.8	4.3
SMF	13.7	0.3	17.5	23.5
SEA	11.1	1.6	8.0	15.0
IAD	13.5	2.7	14.7	4.2
MCI	10.2	1.1	9.5	13.5
LGA	21.1	3.8	13.8	4.7
CLE	15.1	0.5	7.6	24.7
MCO	14.2	1.2	9.5	22.2
PDX	4.5	5.0	6.5	15.0
CLT	7.9	1.1	9.1	4.4
TPA	9.9	14.1	5.3	16.1
DFW	10.3	0.6	10.0	14.8
BOS	6.2	1.0	11.7	9.6
SJC	17.5	3.6	2.7	7.4
MIA	22.2	4.0	4.0	5.0
DTW	13.1	0.5	22.4	4.4
LAX	18.2	15.1	3.0	0.7
AUS	28.5	0.5	29.0	5.1
SLC	15.8	3.2	4.0	2.8
HNL	15.0	0.5	5.1	10.9
HOU	11.1	2.1	2.7	3.6
DEN	11.8	0.3	8.1	12.7
OAK	16.0	0.4	6.0	22.5
IAH	10.9	0.4	10.2	23.8
PHX	1.8	0.6	7.6	13.3
DAL	34.6	0.2	37.4	5.1
JFK	4.6	1.2	21.0	9.8
SFO	12.0	0.7	2.8	2.5
SAT	11.6	0.3	4.5	11.7
STL	3.6	8.2	2.2	17.3
BNA	1.9	2.3	4.6	9.5
MSY	7.7	0.3	6.3	1.4
PHL	0.8	0.5	7.5	5.9
EWR	4.5	9.6	9.3	13.4
MSP	1.4	0.3	10.0	16.7
SAN	3.2	0.3	2.7	2.6
