Day	Error 1 (ft)	Error 2 (ft)	Error 3 (ft)	Error 4 (ft)	Error 5 (ft)	Mean	Median	Range	Std Dev
1	-1	7	7	-1	2	2.8	2	8	4.02
2	9	2	3	-1	-5	1.6	2	14	5.18
3	5	0	4	1	3	2.6	3	5	2.07
4	0	10	1	4	3	3.6	3	10	3.91
5	10	8	5	16	3	8.4	8	13	5.03
6	6	9	3	-6	-16	-0.8	3	25	10.18
7	14	4	2	14	8	8.4	8	12	5.55
8	20	9	4	-4	28	11.4	9	32	12.72
9	-12	-4	21	-5	-5	-1	-5	33	12.71
10	-21	-12	7	2	19	-1	2	40	15.76
11	2	20	12	-3	-13	3.6	2	33	12.86
12	-1	9	5	12	-4	4.2	5	16	6.69
13	-16	-21	-14	6	7	-7.6	-14	28	13.13
14	-21	-27	-3	-1	-9	-12.2	-9	26	11.37
15	-27	0	-37	-15	4	-15	-15	41	17.42
16	0	29	18	-27	25	9	18	56	22.99
17	29	-24	9	20	48	16.4	20	72	26.73
18	1	30	8	-15	13	7.4	8	45	16.47
19	2	-5	-23	-25	-4	-11	-5	27	12.19
20	3	-46	31	-20	-3	-7	-3	77	28.5
