Day	Hour 1	Hour 2	Hour 3	Hour 4	Hour5	xbar	s	Range
1	5.543	5.698	5.605	5.653	5.668	5.6334	0.060690197	0.155
2	5.585	5.692	5.771	5.718	5.72	5.6972	0.068947081	0.186
3	5.752	5.636	5.66	5.68	5.565	5.6586	0.067924959	0.187
4	5.697	5.613	5.575	5.615	5.646	5.6292	0.045499451	0.122
5	5.63	5.77	5.713	5.649	5.65	5.6824	0.058140347	0.14
6	5.807	5.647	5.756	5.677	5.761	5.7296	0.065694749	0.16
7	5.686	5.691	5.715	5.748	5.688	5.7056	0.026425367	0.062
8	5.681	5.699	5.767	5.736	5.752	5.727	0.036076308	0.086
9	5.552	5.659	5.77	5.594	5.607	5.6364	0.083882656	0.218
10	5.818	5.655	5.66	5.662	5.7	5.699	0.068898476	0.163
11	5.693	5.692	5.625	5.75	5.757	5.7034	0.053453718	0.132
12	5.637	5.628	5.646	5.667	5.603	5.6362	0.023530831	0.064
13	5.634	5.778	5.638	5.689	5.702	5.6882	0.058550833	0.144
14	5.664	5.655	5.727	5.637	5.667	5.67	0.033941125	0.09
15	5.664	5.695	5.677	5.689	5.757	5.6964	0.035899861	0.093
16	5.707	5.89	5.598	5.724	5.635	5.7108	0.112661884	0.292
17	5.697	5.593	5.78	5.745	5.47	5.657	0.126033726	0.31
18	6.002	5.898	5.669	5.957	5.583	5.8218	0.18502081	0.419
19	6.017	5.613	5.596	5.534	5.795	5.711	0.196754924	0.483
20	5.671	6.223	5.621	5.783	5.787	5.817	0.238025209	0.602
